customer_id,first_name,email,phone,purchase_date,amount,status,region
CUST001,John,john@example.com,15551234567,2024-01-15,1250.5,Active,North
CUST002,Jane,jane.doe@test.com,15552345678,,2500.0,Active,South
CUST003,Bob Smith,,15553456789,2024-02-10,750.0,Active,East
CUST004,Alice,alice@company.co,15554567890,,1800.0,Pending,West
CUST005,Charlie,,15555678901,2024-03-01,3200.75,Pending,North
CUST006,David,david@example.com,15556789012,,950.0,Pending,North
CUST007,Emma,emma@test.com,15557890123,2024-03-20,1100.0,Active,South
CUST008,Frank,,15554567890,,2750.25,Active,North
CUST009,Grace,grace@example.com,15558901234,,1500.0,Completed,North
CUST010,Henry,henry@test.com,15559012345,2024-04-05,890.0,Completed,North
CUST011,Ivy,ivy@company.co,15551234567,2024-04-18,1650.5,Pending,West
CUST012,Jack,jack@test.com,15552345678,,1650.5,Active,West
CUST013,Karen,,15553456789,,1900.0,Active,North
CUST014,Mia,mia@example.com,15555678901,,1050.0,Active,North
CUST015,Noah,noah@test.co,15556789012,,1750.0,Active,North
CUST016,Olivia,olivia@company.com,15557890123,,2200.0,Completed,West
CUST017,Paul,paul@test.com,15556789012,,1400.75,Active,South
CUST018,Quinn,quinn@example.com,15558901234,,1950.0,Pending,East
CUST019,Rachel,,15550123456,,1300.0,Active,North
CUST020,Sam,sam@test.com,15551234567,,1650.0,Active,West
CUST021,Tina,tina@example.com,15552345678,2024-07-02,2850.5,Active,West
CUST022,Uma,uma@test.co,15553456789,,2500.0,Completed,North
CUST023,Victor,victor@company.com,15556789012,,2050.0,Active,North
CUST024,Wendy,wendy@test.com,15557890123,,1550.0,Pending,North
CUST025,Xavier,xavier@example.com,15558901234,,2350.25,Completed,East
CUST026,Yolanda,yolanda@test.com,15559012345,,1850.0,Active,East
CUST027,Zack,zack@company.co,15550123456,2024-09-18,1750.0,Pending,North
CUST028,Amy,amy@test.com,15551234567,,2150.5,Active,North
CUST029,Brian,brian@example.com,15552345678,2024-10-02,1950.0,Completed,East
CUST030,Cindy,cindy@test.com,15553456789,,2050.0,Active,South
CUST031,Derek,derek@company.com,15554567890,2024-10-16,1700.0,Pending,East
CUST032,Ellen,ellen@test.com,15555678901,,1250.0,Active,North
CUST033,Fred,fred@example.com,15556789012,,2250.0,Completed,North
CUST034,Gina,gina@test.com,15557890123,2024-11-15,1350.0,Active,North
CUST035,Hank,hank@company.co,15558901234,,2550.75,Pending,East
CUST036,Iris,iris@test.com,15559012345,,1450.0,Active,North
CUST037,James,james@example.com,15550123456,2024-01-10,1850.0,Completed,West
CUST038,Kelly,kelly@test.com,15551234567,,2450.5,Active,North
CUST039,Luke,luke@company.com,15552345678,,1750.0,Pending,North
CUST040,Mary,mary@test.com,15553456789,,2650.0,Active,South
CUST041,Nick,nick@example.com,15554567890,2024-03-05,1950.0,Active,North
CUST042,Oscar,oscar@test.com,15555678901,,1550.0,Completed,East
CUST043,Pam,pam@company.co,15556789012,,2350.0,Pending,North
CUST044,Quincy,quincy@test.com,15557890123,2024-04-01,1650.0,Active,North
CUST045,Rita,rita@example.com,15558901234,,2050.25,Completed,West
CUST046,Steve,steve@test.com,15559012345,,2150.0,Active,South
CUST047,Tracy,tracy@company.com,15550123456,2024-02-05,50000.0,Pending,North
CUST048,Ursula,ursula@test.com,15551234567,,2350.0,Active,East
CUST049,Vince,vince@example.com,15552345678,2024-03-01,1650.0,Completed,South
CUST050,Bob Smith,,15553456789,2024-02-10,750.0,Active,East
CUST006,David,david@example.com,15556789012,,950.0,Pending,North
CUST023,Victor,victor@company.com,15556789012,,2050.0,Active,North
CUST022,Uma,uma@test.co,15553456789,,2500.0,Completed,North
CUST042,Oscar,oscar@test.com,15555678901,,1550.0,Completed,North
